N,Mint,City,Group
243,Uncertain,Magdala,Unknown
244,Uncertain,Magdala,Unknown
245,Uncertain,Magdala,Unknown
246,Uncertain,Magdala,Unknown
247,Uncertain,Magdala,Unknown
248,Uncertain,Magdala,Unknown
249,Uncertain,Magdala,Unknown
250,Uncertain,Magdala,Unknown
251,Uncertain,Magdala,Unknown
252,Uncertain,Magdala,Unknown
253,Uncertain,Magdala,Unknown
254,Uncertain,Magdala,Unknown
255,Uncertain,Magdala,Unknown
256,Uncertain,Magdala,Unknown
257,Uncertain,Magdala,Unknown
258,Uncertain,Magdala,Unknown
259,Uncertain,Magdala,Unknown
260,Uncertain,Magdala,Unknown
261,Uncertain,Magdala,Unknown
262,Uncertain,Magdala,Unknown
263,Uncertain,Magdala,Unknown
264,Uncertain,Magdala,Unknown
265,Uncertain,Magdala,Unknown
266,Uncertain,Magdala,Unknown
267,Uncertain,Magdala,Unknown
268,Uncertain,Magdala,Unknown
269,Uncertain,Magdala,Unknown
270,Uncertain,Magdala,Unknown
271,Uncertain,Magdala,Unknown
272,Uncertain,Magdala,Unknown
273,Uncertain,Magdala,Unknown
274,Uncertain,Magdala,Unknown
275,Uncertain,Magdala,Unknown
276,Uncertain,Magdala,Unknown
277,Uncertain,Magdala,Unknown
278,Uncertain,Magdala,Unknown
279,Uncertain,Magdala,Unknown
280,Uncertain,Magdala,Unknown
281,Uncertain,Magdala,Unknown
282,Uncertain,Magdala,Unknown
283,Uncertain,Magdala,Unknown
284,Uncertain,Magdala,Unknown
285,Uncertain,Magdala,Unknown
286,Uncertain,Magdala,Unknown
287,Uncertain,Magdala,Unknown
288,Uncertain,Magdala,Unknown
289,Uncertain,Magdala,Unknown
290,Uncertain,Magdala,Unknown
291,Uncertain,Magdala,Unknown
292,Uncertain,Magdala,Unknown
293,Uncertain,Magdala,Unknown
294,Uncertain,Magdala,Unknown
295,Uncertain,Magdala,Unknown
296,Uncertain,Magdala,Unknown
297,Uncertain,Magdala,Unknown
298,Uncertain,Magdala,Unknown
299,Uncertain,Magdala,Unknown
300,Uncertain,Magdala,Unknown
301,Uncertain,Magdala,Unknown
302,Uncertain,Magdala,Unknown
303,Uncertain,Magdala,Unknown
304,Uncertain,Magdala,Unknown
305,Uncertain,Magdala,Unknown
306,Uncertain,Magdala,Unknown
307,Uncertain,Magdala,Unknown
308,Uncertain,Magdala,Unknown
309,Uncertain,Magdala,Unknown
310,Uncertain,Magdala,Unknown
311,Uncertain,Magdala,Unknown
312,Uncertain,Magdala,Unknown
313,Uncertain,Magdala,Unknown
314,Uncertain,Magdala,Unknown
315,Uncertain,Magdala,Unknown
316,Uncertain,Magdala,Unknown
317,Uncertain,Magdala,Unknown
318,Uncertain,Magdala,Unknown
319,Uncertain,Magdala,Unknown
320,Uncertain,Magdala,Unknown
321,Uncertain,Magdala,Unknown
322,Uncertain,Magdala,Unknown
323,Uncertain,Magdala,Unknown
324,Uncertain,Magdala,Unknown
325,Uncertain,Magdala,Unknown
326,Uncertain,Magdala,Unknown
327,Uncertain,Magdala,Unknown
328,Uncertain,Magdala,Unknown
329,Uncertain,Magdala,Unknown
330,Uncertain,Magdala,Unknown
331,Uncertain,Magdala,Unknown
332,Uncertain,Magdala,Unknown
333,Uncertain,Magdala,Unknown
334,Uncertain,Magdala,Unknown
335,Uncertain,Magdala,Unknown
336,Uncertain,Magdala,Unknown
337,Uncertain,Magdala,Unknown
338,Uncertain,Magdala,Unknown
339,Uncertain,Magdala,Unknown
340,Uncertain,Magdala,Unknown
341,Uncertain,Magdala,Unknown
342,Uncertain,Magdala,Unknown
343,Uncertain,Magdala,Unknown
344,Jerusalem,Capernaum,Local
345,Antioch,Capernaum,Hellenistic
346,Caesarea Maritima,Capernaum,Roman
347,Tyre,Capernaum,Phoenician
348,Caesarea Maritima,Capernaum,Roman
349,Paneas,Capernaum,Hellenistic
350,Sepphoris,Capernaum,Local
351,Uncertain,Capernaum,Unknown
352,Jerusalem,Capernaum,Local
353,Caesarea Maritima,Capernaum,Roman
354,Sepphoris,Capernaum,Local
355,Sepphoris,Capernaum,Local
356,Antioch,Capernaum,Hellenistic
357,Sepphoris,Capernaum,Local
358,Scythopolis,Capernaum,Hellenistic
359,Uncertain,Capernaum,Unknown
360,Scythopolis,Capernaum,Hellenistic
361,Jerusalem,Capernaum,Local
362,Jerusalem,Capernaum,Local
363,Tiberias,Capernaum,Local
364,Dora,Capernaum,Phoenician
365,Sepphoris,Capernaum,Local
366,Uncertain,Capernaum,Unknown
367,Tyre,Capernaum,Phoenician
368,Jerusalem,Capernaum,Local
369,Antioch,Capernaum,Hellenistic
370,Tyre,Capernaum,Phoenician
371,Antioch,Capernaum,Hellenistic
372,Antioch,Capernaum,Hellenistic
373,Jerusalem,Capernaum,Local
374,Rome,Capernaum,Roman
375,Tiberias,Capernaum,Local
376,Sidon,Capernaum,Phoenician
377,Tyre,Capernaum,Phoenician
378,Tyre,Capernaum,Phoenician
379,Amphipolis,Gamla,Hellenistic
380,Amphipolis,Gamla,Hellenistic
381,Amphipolis,Gamla,Hellenistic
